word,score,globalContribution,positionalContribution
thine,4.06746378377313,2.4678609491333368,1.5996028346397932
boaty,4.067185879415048,2.369793460248207,1.6973924191668401
daint,4.067161524942726,2.4762614741419187,1.590900050800807
print,4.066966996392813,2.4643954805152943,1.6025715158775178
loure,4.066924221057229,2.5416264892134564,1.5252977318437724
citer,4.066807770418389,2.5370117764022595,1.5297959940161299
anile,4.0664337498960235,2.566939896536665,1.4994938533593585
seron,4.066366331756841,2.566621541646527,1.4997447901103145
slake,4.066031236441992,2.375956968758416,1.6900742676835763
solan,4.066002499584648,2.563157549632657,1.5028449499519911
frise,4.065811357826103,2.381330231439779,1.684481126386324
shute,4.0656517841693915,2.4319392780211624,1.6337125061482296
rance,4.065080495067891,2.527932575366241,1.5371479197016495
canst,4.0649781449391424,2.506609803335314,1.5583683416038285
stade,4.064951316092502,2.4948088797595163,1.5701424363329863
triol,4.064902924149099,2.594258102225734,1.4706448219233645
beast,4.064845680867509,2.431394317937164,1.633451362930345
louse,4.064596750745415,2.519605137656398,1.544991613089017
soave,4.063622230895297,2.327620777387082,1.7360014535082153
crame,4.063373967767733,2.4160290604788517,1.6473449072888813
cairn,4.063347202365348,2.5253965321226155,1.5379506702427321
point,4.062963826074753,2.451883659874123,1.61108016620063
sober,4.0628270297072575,2.4333900416682397,1.6294369880390176
crape,4.0625054625392805,2.445150910710602,1.6173545518286785
atone,4.062447455407405,2.5741353488313385,1.4883121065760667
trode,4.061252152350603,2.5054171435484824,1.55583500880212
shade,4.061044624830502,2.4049761723153544,1.6560684525151474
ratel,4.0609805674703345,2.6082072332374517,1.4527733342328826
those,4.060279234146248,2.488003925135061,1.5722753090111867
ahole,4.060155685139678,2.5058627051521185,1.5542929799875593
scart,4.060059244692621,2.544642517266344,1.5154167274262766
curie,4.059912696431599,2.4818441201463566,1.578068576285243
deary,4.059873204918588,2.4450212631856,1.614851941732988
prost,4.059782446765929,2.4845384565170185,1.575243990248911
sural,4.059410607510143,2.5451256164497886,1.5142849910603549
chile,4.059049435154582,2.4307064187920093,1.6283430163625723
scary,4.058869945866061,2.4728335491353697,1.5860363967306907
prosy,4.058593147939369,2.412729488386044,1.6458636595533251
beany,4.058435048517495,2.343573987432218,1.7148610610852775
urine,4.058385190911607,2.5159348118207627,1.5424503790908441
blite,4.05801079318791,2.4213983179322893,1.636612475255621
chine,4.057434514160309,2.4091463550270675,1.6482881591332412
thole,4.056672821617067,2.493552626526031,1.5631201950910358
louie,4.056651587090823,2.5249830549445327,1.53166853214629
naice,4.056430442355179,2.5112891410973175,1.5451413012578619
pause,4.056071002169631,2.4266764970039096,1.6293945051657213
peaty,4.056070111730392,2.4186477251867293,1.6374223865436623
stear,4.055658870265333,2.6026585318464823,1.4530003384188508
larnt,4.055240821254269,2.5842819103317196,1.4709589109225494
dealt,4.055128620904153,2.5003575811504857,1.5547710397536676
pater,4.054858005627774,2.503865504816871,1.550992500810903
riley,4.054737211005016,2.5208535637106326,1.533883647294384
poney,4.054239439508584,2.3826107349867733,1.6716287045218108
anole,4.054027866745687,2.5710715101644173,1.48295635658127
shent,4.053527578792693,2.4624830318452022,1.59104454694749
scrae,4.05341685917306,2.543943937740213,1.5094729214328475
paler,4.053061210750294,2.5008016661499495,1.5522595446003447
goary,4.053055081178464,2.405834880987411,1.6472202001910523
scaly,4.052936063025066,2.4563608989692813,1.5965751640557844
chore,4.05257743484524,2.4513106825858504,1.6012667522593902
scant,4.052510440857353,2.506609803335314,1.5459006375220392
shear,4.051752179003333,2.512825824402321,1.538926354601012
marse,4.051459153146158,2.4661311145272293,1.5853280386189286
alert,4.050830678761171,2.6082072332374517,1.4426234455237195
grant,4.050698746487815,2.4521229558285267,1.5985757906592886
coste,4.050372262799023,2.5191220384729536,1.5312502243260697
aiery,4.0503688536673055,2.5362274810036425,1.5141413726636628
